Precinct,WESLEY HUNT,VIRGIL JOHN BIERSCHWALE,JOHN O. ADEFOPE,JOHN CORNYN,ANNA BENDER,SARA CANADY,"GULREZ ""GUS"" KHAN",KEN PAXTON,Cast Votes,Undervotes,Overvotes,Mail Ballots,Early Voting,Election Day,EV Provisional,ED Provisional,Total Ballots Cast,Registered Voters,Turnout %
115,9,1,0,5,0,1,1,11,28,1,0,0,20,9,0,0,29,0,0
116,186,0,0,262,2,1,1,210,662,5,0,6,444,217,0,0,667,0,0
117,13,1,0,41,0,3,0,33,91,0,0,2,47,42,0,0,91,0,0
118,56,1,0,97,2,3,1,105,265,1,0,5,153,106,2,0,266,0,0
119,53,3,2,58,9,3,0,82,210,3,0,2,138,72,1,0,213,0,0
120,52,1,3,70,2,4,1,79,212,1,0,3,114,96,0,0,213,0,0
121,43,0,1,71,1,3,0,85,204,6,0,4,136,70,0,0,210,0,0
122,3,1,0,1,1,0,0,2,8,0,0,0,2,6,0,0,8,0,0
123,12,0,0,22,0,0,0,26,60,3,0,2,36,25,0,0,63,0,0
124,129,0,1,164,2,4,1,209,510,4,0,5,292,216,1,0,514,0,0
125,46,1,1,90,6,2,4,91,241,1,0,5,157,78,2,0,242,0,0
126,111,2,1,143,8,6,1,242,514,4,0,17,338,161,2,0,518,0,0
127,75,8,2,117,5,4,5,134,350,2,0,15,238,98,1,0,352,0,0
128,58,1,1,186,3,1,2,79,331,6,2,13,172,152,2,0,339,0,0
129,137,1,0,236,6,4,3,135,522,5,0,26,288,213,0,0,527,0,0
130,109,0,2,248,5,5,3,145,517,5,0,18,315,185,3,1,522,0,0
131,9,0,1,10,0,1,0,4,25,2,0,2,14,11,0,0,27,0,0
132,2,0,0,3,0,1,0,8,14,0,0,0,7,7,0,0,14,0,0
133,69,0,0,203,3,2,1,98,376,3,0,10,192,177,0,0,379,0,0
134,15,0,3,40,1,2,3,64,128,1,0,0,74,55,0,0,129,0,0
135,106,0,0,350,2,5,1,105,569,1,0,13,351,202,2,2,570,0,0
136,5,0,0,3,0,0,0,5,13,2,0,0,8,7,0,0,15,0,0
137,54,1,0,81,2,2,1,113,254,2,0,4,147,105,0,0,256,0,0
138,2,0,0,3,1,0,0,7,13,1,0,0,9,5,0,0,14,0,0
139,60,1,1,190,2,0,2,88,344,2,0,9,212,124,0,1,346,0,0
140,6,0,0,24,1,2,2,14,49,1,0,4,20,26,0,0,50,0,0
141,1,0,0,5,0,0,0,1,7,0,0,0,2,5,0,0,7,0,0
142,6,0,0,7,0,1,0,10,24,2,0,0,13,12,1,0,26,0,0
143,94,1,2,255,2,5,3,216,578,3,0,23,448,110,0,0,581,0,0
144,3,0,0,3,0,0,0,1,7,0,0,0,2,5,0,0,7,0,0
145,2,0,0,1,0,0,0,1,4,0,0,0,3,1,0,0,4,0,0
146,46,1,0,76,3,2,1,68,197,1,0,13,86,98,0,1,198,0,0
147,18,0,0,27,0,0,0,27,72,1,0,7,44,22,0,0,73,0,0
148,42,0,0,130,2,1,3,47,225,3,0,11,101,116,0,0,228,0,0
149,73,2,1,124,4,2,2,124,332,6,0,2,211,125,0,0,338,0,0
150,5,1,0,3,0,0,0,4,13,0,0,0,11,2,0,0,13,0,0
151,1,0,0,0,0,1,0,3,5,0,0,0,4,1,0,0,5,0,0
152,14,0,1,30,0,4,3,16,68,0,0,4,31,33,0,0,68,0,0
153,4,0,3,17,0,1,0,22,47,1,0,3,23,22,0,0,48,0,0
154,10,0,0,21,1,4,2,32,70,3,0,0,45,28,0,0,73,0,0
155,120,3,4,302,6,4,3,261,703,4,0,30,403,274,0,0,707,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,8,0,0,2,0,2,0,9,21,1,0,2,7,13,0,0,22,0,0
158,3,0,0,1,1,0,0,5,10,0,0,0,8,2,0,0,10,0,0
159,6,0,2,6,1,0,0,10,25,0,0,0,12,13,0,0,25,0,0
160,2,0,1,1,0,0,0,5,9,0,0,0,5,4,0,0,9,0,0
161,1,1,0,1,0,0,0,2,5,1,0,0,2,4,0,0,6,0,0
162,3,0,1,21,2,0,1,13,41,0,0,6,21,14,0,0,41,0,0
163,16,1,0,34,3,3,0,32,89,1,0,1,33,56,0,0,90,0,0
164,1,1,0,5,0,1,0,1,9,2,0,0,3,8,0,0,11,0,0
165,79,3,0,117,1,3,2,113,318,3,1,12,170,140,0,0,322,0,0
166,17,3,1,21,1,1,1,22,67,1,0,0,32,36,0,0,68,0,0
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,2,0,0
169,9,0,0,7,0,0,0,4,20,0,0,0,13,7,0,0,20,0,0
170,22,1,1,33,3,1,0,49,110,1,0,8,68,35,0,0,111,0,0
171,1,0,0,1,0,0,0,2,4,0,0,0,3,1,0,0,4,0,0
172,2,1,1,10,0,0,0,8,22,0,0,0,13,9,0,0,22,0,0
173,144,1,5,185,2,5,3,203,548,3,0,14,354,183,0,0,551,0,0
174,81,0,5,288,5,5,6,223,613,3,0,28,374,214,0,0,616,0,0
175,58,1,1,151,1,2,1,104,319,2,0,3,144,173,1,0,321,0,0
176,32,0,1,77,1,1,3,43,158,3,0,6,80,72,3,0,161,0,0
177,27,0,0,89,2,1,1,52,172,2,0,11,99,63,1,0,174,0,0
178,58,0,0,227,1,3,0,74,363,1,0,13,212,138,1,0,364,0,0
179,42,1,1,83,1,3,0,64,195,3,0,4,140,54,0,0,198,0,0
180,5,0,0,6,0,0,1,8,20,0,0,1,8,11,0,0,20,0,0
181,13,1,1,21,0,1,1,24,62,1,0,2,37,24,0,0,63,0,0
182,3,0,1,11,1,0,0,8,24,0,0,0,15,9,0,0,24,0,0
183,80,0,1,228,2,1,0,99,411,1,0,9,190,213,0,0,412,0,0
184,7,0,0,13,0,0,0,13,33,0,0,1,21,11,0,0,33,0,0
185,11,0,0,26,2,0,0,33,72,0,0,6,37,29,0,0,72,0,0
186,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,2,0,0
