precinct,count_precinct
281.0,2521.0
282.0,2588.0
283.0,2956.0
284.0,4098.0
285.0,2938.0
286.0,3967.0
287.0,1778.0
288.0,2020.0
289.0,1819.0
290.0,1280.0
291.0,1230.0
292.0,1647.0
293.0,1475.0
294.0,1883.0
295.0,919.0
296.0,1780.0
297.0,2008.0
298.0,2342.0
299.0,1911.0
300.0,3142.0
301.0,2668.0
302.0,3583.0
303.0,3748.0
304.0,2378.0
305.0,4887.0
306.0,1921.0
307.0,3373.0
308.0,1844.0
309.0,3961.0
310.0,1912.0
311.0,3010.0
312.0,3683.0
313.0,82.0
314.0,2446.0
315.0,1741.0
316.0,1606.0
317.0,1514.0
318.0,3766.0
319.0,2347.0
320.0,1689.0
321.0,2389.0
322.0,1149.0
323.0,2251.0
324.0,2736.0
325.0,2462.0
326.0,906.0
327.0,1967.0
328.0,1760.0
329.0,1742.0
330.0,3337.0
331.0,5467.0
332.0,3935.0
333.0,4105.0
334.0,932.0
335.0,1934.0
336.0,2420.0
337.0,1251.0
338.0,4820.0
339.0,2224.0
340.0,3487.0
341.0,1549.0
342.0,1172.0
343.0,2486.0
344.0,1233.0
345.0,2405.0
347.0,3953.0
348.0,2596.0
349.0,1601.0
350.0,3575.0
351.0,3587.0
352.0,3192.0
353.0,4602.0
354.0,3715.0
355.0,2234.0
356.0,3841.0
357.0,3972.0
358.0,1807.0
359.0,3369.0
360.0,3817.0
361.0,2230.0
362.0,5174.0
363.0,3799.0
364.0,2436.0
365.0,1364.0
366.0,4728.0
367.0,1722.0
368.0,1099.0
369.0,1408.0
370.0,2862.0
371.0,520.0
372.0,1261.0
373.0,150.0
374.0,707.0
375.0,3383.0
376.0,1727.0
377.0,650.0
378.0,2470.0
379.0,2140.0
380.0,4948.0
381.0,3277.0
382.0,1643.0
383.0,2741.0
384.0,2791.0
385.0,2240.0
386.0,1706.0
387.0,5216.0
388.0,3022.0
389.0,1565.0
390.0,2077.0
391.0,1485.0
392.0,1245.0
393.0,1615.0
394.0,1071.0
395.0,1920.0
396.0,2370.0
397.0,949.0
398.0,4565.0
399.0,4064.0
401.0,2201.0
402.0,2999.0
403.0,1804.0
404.0,3097.0
405.0,4365.0
406.0,536.0
407.0,4636.0
408.0,1506.0
409.0,2091.0
410.0,992.0
411.0,2666.0
412.0,453.0
413.0,3172.0
414.0,3013.0
