"id","state","site","treat","treat_string","vf_age","vf_female","vf_latino","vf_voted16","vf_voted14","vf_voted12","t1_factor_prej","t1_factor_policy","t1_factor_overall"
59028,"CA","FRESNO",2,"Deep Canvass",39,1,1,1,1,1,0.2744123,-0.4168925,-0.0395752
103138,"CA","FRESNO",2,"Deep Canvass",51,0,0,1,0,1,NA,NA,NA
177610,"TN","TN",2,"Deep Canvass",47,1,0,1,1,1,NA,NA,NA
67530,"CA","FRESNO",2,"Deep Canvass",32,0,0,0,0,0,NA,NA,NA
62475,"CA","ORANGE",2,"Deep Canvass",47,0,0,1,0,0,-1.527339,-1.693517,-1.664238
42038,"CA","FRESNO",2,"Deep Canvass",24,1,0,1,0,0,NA,NA,NA
55325,"CA","FRESNO",2,"Deep Canvass",44,0,1,1,0,1,NA,NA,NA
212548,"TN","TN",2,"Deep Canvass",33,0,0,1,0,0,NA,NA,NA
157969,"TN","TN",2,"Deep Canvass",67,0,0,1,1,1,-1.372841,-1.613565,-1.529652
114278,"CA","FRESNO",2,"Deep Canvass",28,1,0,1,0,1,NA,NA,NA
136700,"TN","TN",2,"Deep Canvass",72,1,0,1,1,1,0.0092529,0.4131456,0.2253658
212523,"TN","TN",2,"Deep Canvass",54,1,0,1,0,0,NA,NA,NA
48403,"CA","FRESNO",2,"Deep Canvass",31,0,0,1,1,1,NA,NA,NA
